1: archers-ev1,tesla-ev1,electro-spirit,fireball,knight,skeletons,the-log,x-bow
1: bats-ev1,mortar-ev1,cannon-cart,fireball,goblin-gang,miner,spear-goblins,the-log
2: skeletons-ev1,wizard-ev1,arrows,elixir-golem,night-witch,rage,skeleton-king,void
3: valkyrie-ev1,zap-ev1,balloon,lava-hound,mega-minion,skeleton-dragons,tombstone,void
4: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado

1: bats-ev1,mortar-ev1,cannon-cart,fireball,goblin-gang,miner,spear-goblins,the-log
2: valkyrie-ev1,zap-ev1,balloon,guards,inferno-dragon,lava-hound,skeleton-dragons,void
3: bomber-ev1,goblin-cage-ev1,barbarian-barrel,bowler,electro-giant,lightning,phoenix,tornado
4: firecracker-ev1,tesla-ev1,earthquake,hog-rider,ice-spirit,mighty-miner,skeletons,the-log

1: bats-ev1,mortar-ev1,cannon-cart,fireball,goblin-gang,miner,spear-goblins,the-log
2: valkyrie-ev1,zap-ev1,balloon,guards,inferno-dragon,lava-hound,skeleton-dragons,void
3: bomber-ev1,goblin-cage-ev1,barbarian-barrel,bowler,electro-giant,lightning,phoenix,tornado
4: goblin-drill-ev1,tesla-ev1,goblin-demolisher,ice-spirit,knight,poison,skeletons,the-log

1: bats-ev1,mortar-ev1,cannon-cart,fireball,goblin-gang,miner,spear-goblins,the-log
2: valkyrie-ev1,zap-ev1,balloon,guards,inferno-dragon,lava-hound,skeleton-dragons,void
3: firecracker-ev1,tesla-ev1,earthquake,hog-rider,ice-spirit,mighty-miner,skeletons,the-log
4: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado

1: bats-ev1,mortar-ev1,cannon-cart,fireball,goblin-gang,miner,spear-goblins,the-log
2: valkyrie-ev1,zap-ev1,balloon,guards,inferno-dragon,lava-hound,skeleton-dragons,void
3: ice-spirit-ev1,skeletons-ev1,archer-queen,cannon,earthquake,royal-delivery,royal-hogs,the-log
4: bomber-ev1,goblin-cage-ev1,barbarian-barrel,bowler,electro-giant,lightning,phoenix,tornado

1: bats-ev1,mortar-ev1,cannon-cart,fireball,goblin-gang,miner,spear-goblins,the-log
2: valkyrie-ev1,zap-ev1,balloon,guards,inferno-dragon,lava-hound,skeleton-dragons,void
3: ice-spirit-ev1,skeletons-ev1,archer-queen,cannon,earthquake,royal-delivery,royal-hogs,the-log
4: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado

1: bats-ev1,mortar-ev1,cannon-cart,fireball,goblin-gang,miner,spear-goblins,the-log
2: valkyrie-ev1,zap-ev1,balloon,guards,inferno-dragon,lava-hound,skeleton-dragons,void
3: skeletons-ev1,wizard-ev1,arrows,elixir-golem,night-witch,rage,skeleton-king,void
4: bomber-ev1,goblin-cage-ev1,barbarian-barrel,bowler,electro-giant,lightning,phoenix,tornado

1: bats-ev1,mortar-ev1,cannon-cart,fireball,goblin-gang,miner,spear-goblins,the-log
2: valkyrie-ev1,zap-ev1,balloon,guards,inferno-dragon,lava-hound,skeleton-dragons,void
3: skeletons-ev1,wizard-ev1,arrows,elixir-golem,night-witch,rage,skeleton-king,void
4: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado

1: bats-ev1,mortar-ev1,cannon-cart,fireball,goblin-gang,miner,spear-goblins,the-log
2: valkyrie-ev1,zap-ev1,balloon,lava-hound,mega-minion,skeleton-dragons,tombstone,void
3: bomber-ev1,goblin-cage-ev1,barbarian-barrel,bowler,electro-giant,lightning,phoenix,tornado
4: firecracker-ev1,tesla-ev1,earthquake,hog-rider,ice-spirit,mighty-miner,skeletons,the-log

1: bats-ev1,mortar-ev1,cannon-cart,fireball,goblin-gang,miner,spear-goblins,the-log
2: valkyrie-ev1,zap-ev1,balloon,lava-hound,mega-minion,skeleton-dragons,tombstone,void
3: bomber-ev1,goblin-cage-ev1,barbarian-barrel,bowler,electro-giant,lightning,phoenix,tornado
4: goblin-drill-ev1,tesla-ev1,goblin-demolisher,ice-spirit,knight,poison,skeletons,the-log

1: bats-ev1,mortar-ev1,cannon-cart,fireball,goblin-gang,miner,spear-goblins,the-log
2: valkyrie-ev1,zap-ev1,balloon,lava-hound,mega-minion,skeleton-dragons,tombstone,void
3: firecracker-ev1,tesla-ev1,earthquake,hog-rider,ice-spirit,mighty-miner,skeletons,the-log
4: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado

1: bats-ev1,mortar-ev1,cannon-cart,fireball,goblin-gang,miner,spear-goblins,the-log
2: valkyrie-ev1,zap-ev1,balloon,lava-hound,mega-minion,skeleton-dragons,tombstone,void
3: ice-spirit-ev1,skeletons-ev1,archer-queen,cannon,earthquake,royal-delivery,royal-hogs,the-log
4: bomber-ev1,goblin-cage-ev1,barbarian-barrel,bowler,electro-giant,lightning,phoenix,tornado

1: bats-ev1,mortar-ev1,cannon-cart,fireball,goblin-gang,miner,spear-goblins,the-log
2: valkyrie-ev1,zap-ev1,balloon,lava-hound,mega-minion,skeleton-dragons,tombstone,void
3: ice-spirit-ev1,skeletons-ev1,archer-queen,cannon,earthquake,royal-delivery,royal-hogs,the-log
4: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado

1: bats-ev1,mortar-ev1,cannon-cart,fireball,goblin-gang,miner,spear-goblins,the-log
2: valkyrie-ev1,zap-ev1,balloon,lava-hound,mega-minion,skeleton-dragons,tombstone,void
3: skeletons-ev1,wizard-ev1,arrows,elixir-golem,night-witch,rage,skeleton-king,void
4: bomber-ev1,goblin-cage-ev1,barbarian-barrel,bowler,electro-giant,lightning,phoenix,tornado

1: bats-ev1,mortar-ev1,cannon-cart,fireball,goblin-gang,miner,spear-goblins,the-log
2: valkyrie-ev1,zap-ev1,balloon,lava-hound,mega-minion,skeleton-dragons,tombstone,void
3: skeletons-ev1,wizard-ev1,arrows,elixir-golem,night-witch,rage,skeleton-king,void
4: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado

1: bats-ev1,mortar-ev1,cannon-cart,fireball,goblin-gang,miner,spear-goblins,the-log
2: wizard-ev1,zap-ev1,bandit,electro-spirit,pekka,ram-rider,royal-ghost,void
3: bomber-ev1,goblin-cage-ev1,barbarian-barrel,bowler,electro-giant,lightning,phoenix,tornado
4: firecracker-ev1,tesla-ev1,earthquake,hog-rider,ice-spirit,mighty-miner,skeletons,the-log

1: bats-ev1,mortar-ev1,cannon-cart,fireball,goblin-gang,miner,spear-goblins,the-log
2: wizard-ev1,zap-ev1,bandit,electro-spirit,pekka,ram-rider,royal-ghost,void
3: bomber-ev1,goblin-cage-ev1,barbarian-barrel,bowler,electro-giant,lightning,phoenix,tornado
4: goblin-drill-ev1,tesla-ev1,goblin-demolisher,ice-spirit,knight,poison,skeletons,the-log

1: bats-ev1,mortar-ev1,cannon-cart,fireball,goblin-gang,miner,spear-goblins,the-log
2: wizard-ev1,zap-ev1,bandit,electro-spirit,pekka,ram-rider,royal-ghost,void
3: firecracker-ev1,tesla-ev1,earthquake,hog-rider,ice-spirit,mighty-miner,skeletons,the-log
4: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado

1: bats-ev1,mortar-ev1,cannon-cart,fireball,goblin-gang,miner,spear-goblins,the-log
2: wizard-ev1,zap-ev1,bandit,electro-spirit,pekka,ram-rider,royal-ghost,void
3: ice-spirit-ev1,skeletons-ev1,archer-queen,cannon,earthquake,royal-delivery,royal-hogs,the-log
4: bomber-ev1,goblin-cage-ev1,barbarian-barrel,bowler,electro-giant,lightning,phoenix,tornado

1: bats-ev1,mortar-ev1,cannon-cart,fireball,goblin-gang,miner,spear-goblins,the-log
2: wizard-ev1,zap-ev1,bandit,electro-spirit,pekka,ram-rider,royal-ghost,void
3: ice-spirit-ev1,skeletons-ev1,archer-queen,cannon,earthquake,royal-delivery,royal-hogs,the-log
4: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: bats-ev1,zap-ev1, goblin-gang,inferno-dragon,mega-knight,miner,skeleton-barrel,spear-goblins
3: firecracker-ev1,tesla-ev1,earthquake,hog-rider,ice-spirit,mighty-miner,skeletons,the-log
4: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: firecracker-ev1,tesla-ev1,earthquake,hog-rider,ice-spirit,mighty-miner,skeletons,the-log
3: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado
4: valkyrie-ev1,zap-ev1,balloon,inferno-dragon,lava-hound,skeleton-dragons,tombstone,void

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: ice-spirit-ev1,skeletons-ev1,archer-queen,cannon,earthquake,royal-delivery,royal-hogs,the-log
3: bats-ev1,zap-ev1, goblin-gang,inferno-dragon,mega-knight,miner,skeleton-barrel,spear-goblins
4: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: ice-spirit-ev1,skeletons-ev1,archer-queen,cannon,earthquake,royal-delivery,royal-hogs,the-log
3: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado
4: valkyrie-ev1,zap-ev1,balloon,inferno-dragon,lava-hound,skeleton-dragons,tombstone,void

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: ice-spirit-ev1,skeletons-ev1,cannon,fireball,hog-rider,ice-golem,musketeer,the-log
3: bats-ev1,zap-ev1, goblin-gang,inferno-dragon,mega-knight,miner,skeleton-barrel,spear-goblins
4: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: ice-spirit-ev1,skeletons-ev1,cannon,fireball,hog-rider,ice-golem,musketeer,the-log
3: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado
4: valkyrie-ev1,zap-ev1,balloon,inferno-dragon,lava-hound,skeleton-dragons,tombstone,void

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: ice-spirit-ev1,skeletons-ev1,cannon,fireball,hog-rider,ice-golem,musketeer,the-log
3: valkyrie-ev1,zap-ev1,balloon,guards,inferno-dragon,lava-hound,skeleton-dragons,void
4: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: ice-spirit-ev1,skeletons-ev1,cannon,fireball,hog-rider,ice-golem,musketeer,the-log
3: wizard-ev1,zap-ev1,bandit,electro-spirit,pekka,ram-rider,royal-ghost,void
4: bomber-ev1,goblin-cage-ev1,barbarian-barrel,bowler,electro-giant,lightning,phoenix,tornado

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: ice-spirit-ev1,skeletons-ev1,cannon,fireball,hog-rider,ice-golem,musketeer,the-log
3: wizard-ev1,zap-ev1,bandit,electro-spirit,pekka,ram-rider,royal-ghost,void
4: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: ice-spirit-ev1,valkyrie-ev1,executioner,goblins,hog-rider,rocket,the-log,tornado
3: wizard-ev1,zap-ev1,bandit,electro-spirit,pekka,ram-rider,royal-ghost,void
4: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: knight-ev1,wizard-ev1,balloon,bowler,freeze,inferno-dragon,lumberjack,tornado
3: ice-spirit-ev1,skeletons-ev1,cannon,fireball,hog-rider,ice-golem,musketeer,the-log
4: wizard-ev1,zap-ev1,bandit,electro-spirit,pekka,ram-rider,royal-ghost,void

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: knight-ev1,wizard-ev1,balloon,bowler,freeze,inferno-dragon,lumberjack,tornado
3: wizard-ev1,zap-ev1,bandit,electro-spirit,pekka,ram-rider,royal-ghost,void
4: firecracker-ev1,tesla-ev1,earthquake,hog-rider,ice-spirit,mighty-miner,skeletons,the-log

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: knight-ev1,wizard-ev1,balloon,bowler,freeze,inferno-dragon,lumberjack,tornado
3: wizard-ev1,zap-ev1,bandit,electro-spirit,pekka,ram-rider,royal-ghost,void
4: ice-spirit-ev1,skeletons-ev1,archer-queen,cannon,earthquake,royal-delivery,royal-hogs,the-log

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: knight-ev1,wizard-ev1,balloon,bowler,freeze,inferno-dragon,lumberjack,tornado
3: wizard-ev1,zap-ev1,bandit,electro-spirit,pekka,ram-rider,royal-ghost,void
4: ice-spirit-ev1,skeletons-ev1,cannon,fireball,hog-rider,ice-golem,musketeer,the-log

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: royal-giant-ev1,skeletons-ev1,electro-spirit,fireball,fisherman,phoenix,royal-ghost,the-log
3: bats-ev1,zap-ev1, goblin-gang,inferno-dragon,mega-knight,miner,skeleton-barrel,spear-goblins
4: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: royal-giant-ev1,skeletons-ev1,electro-spirit,fireball,fisherman,phoenix,royal-ghost,the-log
3: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado
4: valkyrie-ev1,zap-ev1,balloon,inferno-dragon,lava-hound,skeleton-dragons,tombstone,void

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: royal-giant-ev1,skeletons-ev1,electro-spirit,fireball,fisherman,phoenix,royal-ghost,the-log
3: valkyrie-ev1,zap-ev1,balloon,guards,inferno-dragon,lava-hound,skeleton-dragons,void
4: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: royal-giant-ev1,skeletons-ev1,electro-spirit,fireball,fisherman,phoenix,royal-ghost,the-log
3: valkyrie-ev1,zap-ev1,balloon,lava-hound,mega-minion,skeleton-dragons,tombstone,void
4: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: royal-giant-ev1,wizard-ev1,electro-spirit,fisherman,royal-ghost,skeletons,the-log,void
3: bats-ev1,zap-ev1, goblin-gang,inferno-dragon,mega-knight,miner,skeleton-barrel,spear-goblins
4: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: valkyrie-ev1,zap-ev1,balloon,guards,inferno-dragon,lava-hound,skeleton-dragons,void
3: firecracker-ev1,tesla-ev1,earthquake,hog-rider,ice-spirit,mighty-miner,skeletons,the-log
4: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: valkyrie-ev1,zap-ev1,balloon,guards,inferno-dragon,lava-hound,skeleton-dragons,void
3: ice-spirit-ev1,skeletons-ev1,archer-queen,cannon,earthquake,royal-delivery,royal-hogs,the-log
4: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: valkyrie-ev1,zap-ev1,balloon,lava-hound,mega-minion,skeleton-dragons,tombstone,void
3: firecracker-ev1,tesla-ev1,earthquake,hog-rider,ice-spirit,mighty-miner,skeletons,the-log
4: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: valkyrie-ev1,zap-ev1,balloon,lava-hound,mega-minion,skeleton-dragons,tombstone,void
3: ice-spirit-ev1,skeletons-ev1,archer-queen,cannon,earthquake,royal-delivery,royal-hogs,the-log
4: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: valkyrie-ev1,zap-ev1,balloon,lava-hound,mega-minion,skeleton-dragons,tombstone,void
3: ice-spirit-ev1,skeletons-ev1,cannon,fireball,hog-rider,ice-golem,musketeer,the-log
4: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: valkyrie-ev1,zap-ev1,balloon,lava-hound,mega-minion,skeleton-dragons,tombstone,void
3: royal-giant-ev1,skeletons-ev1,electro-spirit,fireball,fisherman,phoenix,royal-ghost,the-log
4: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: wizard-ev1,zap-ev1,bandit,electro-spirit,pekka,ram-rider,royal-ghost,void
3: bomber-ev1,goblin-cage-ev1,barbarian-barrel,bowler,electro-giant,lightning,phoenix,tornado
4: firecracker-ev1,tesla-ev1,earthquake,hog-rider,ice-spirit,mighty-miner,skeletons,the-log

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: wizard-ev1,zap-ev1,bandit,electro-spirit,pekka,ram-rider,royal-ghost,void
3: bomber-ev1,goblin-cage-ev1,barbarian-barrel,bowler,electro-giant,lightning,phoenix,tornado
4: goblin-drill-ev1,tesla-ev1,goblin-demolisher,ice-spirit,knight,poison,skeletons,the-log

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: wizard-ev1,zap-ev1,bandit,electro-spirit,pekka,ram-rider,royal-ghost,void
3: firecracker-ev1,tesla-ev1,earthquake,hog-rider,ice-spirit,mighty-miner,skeletons,the-log
4: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: wizard-ev1,zap-ev1,bandit,electro-spirit,pekka,ram-rider,royal-ghost,void
3: ice-spirit-ev1,skeletons-ev1,archer-queen,cannon,earthquake,royal-delivery,royal-hogs,the-log
4: bomber-ev1,goblin-cage-ev1,barbarian-barrel,bowler,electro-giant,lightning,phoenix,tornado

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: wizard-ev1,zap-ev1,bandit,electro-spirit,pekka,ram-rider,royal-ghost,void
3: ice-spirit-ev1,skeletons-ev1,archer-queen,cannon,earthquake,royal-delivery,royal-hogs,the-log
4: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: wizard-ev1,zap-ev1,bandit,electro-spirit,pekka,ram-rider,royal-ghost,void
3: ice-spirit-ev1,skeletons-ev1,cannon,fireball,hog-rider,ice-golem,musketeer,the-log
4: bomber-ev1,goblin-cage-ev1,barbarian-barrel,bowler,electro-giant,lightning,phoenix,tornado

1: bomber-ev1,mortar-ev1,arrows,cannon-cart,goblin-gang,miner,skeleton-dragons,skeleton-king
2: wizard-ev1,zap-ev1,bandit,electro-spirit,pekka,ram-rider,royal-ghost,void
3: ice-spirit-ev1,skeletons-ev1,cannon,fireball,hog-rider,ice-golem,musketeer,the-log
4: goblin-cage-ev1,knight-ev1,baby-dragon,barbarian-barrel,graveyard,ice-wizard,poison,tornado

1: goblin-barrel-ev1,knight-ev1,dart-goblin,goblin-gang,prince,princess,rascals,the-log
2: bomber-ev1,goblin-cage-ev1,barbarian-barrel,bowler,electro-giant,lightning,phoenix,tornado
3: bats-ev1,zap-ev1, goblin-gang,inferno-dragon,mega-knight,miner,skeleton-barrel,spear-goblins
4: firecracker-ev1,tesla-ev1,earthquake,hog-rider,ice-spirit,mighty-miner,skeletons,the-log

1: goblin-barrel-ev1,knight-ev1,dart-goblin,goblin-gang,prince,princess,rascals,the-log
2: bomber-ev1,goblin-cage-ev1,barbarian-barrel,bowler,electro-giant,lightning,phoenix,tornado
3: firecracker-ev1,tesla-ev1,earthquake,hog-rider,ice-spirit,mighty-miner,skeletons,the-log
4: valkyrie-ev1,zap-ev1,balloon,inferno-dragon,lava-hound,skeleton-dragons,tombstone,void

1: goblin-barrel-ev1,knight-ev1,dart-goblin,goblin-gang,prince,princess,rascals,the-log
2: bomber-ev1,goblin-cage-ev1,barbarian-barrel,bowler,electro-giant,lightning,phoenix,tornado
3: royal-giant-ev1,wizard-ev1,electro-spirit,fisherman,royal-ghost,skeletons,the-log,void
4: bats-ev1,zap-ev1, goblin-gang,inferno-dragon,mega-knight,miner,skeleton-barrel,spear-goblins

1: goblin-barrel-ev1,knight-ev1,dart-goblin,goblin-gang,prince,princess,rascals,the-log
2: ice-spirit-ev1,skeletons-ev1,archer-queen,cannon,earthquake,royal-delivery,royal-hogs,the-log
